ExperimentId,inputIndex,PTSD,PTSDImageArousalSubscale,CognitiveControlOverEmotion,Stress,Depression,ExecutiveScore,Neuroticism,BaseImageDominance,BaseImageArousal,BaseImageValence,NightmareDistress,NightmareEffects,NightmareFrequency,DASSAnxiety,FearExtinctionFailureThreshold,BaseFearExtinctionAttemptThreshold,LogNightmareFrequency,ptsdOffset,ptsdIASOffset,ccoeOffset,stressOffset,depressionOffset,executivescoreOffset,neuroticismOffset,dominanceOffset,arousalOffset,valenceOffset,scalingOffset,stopHour
43,42,0.0462,0.021823529411764707,0.8035185185185185,0.5775,0.10199999999999998,0.20133333333333334,0.6299999999999999,0.535,0.305,-1.393,0.22,0.08210852950445391,0.123,0.1043649779360294,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
10,9,0.3234,0.0,0.7896666666666667,0.6338333333333334,0.24905882352941175,0.17783333333333334,0.25999999999999995,0.535,0.305,-1.393,0.22,0.08257172272919817,0.123,0.08483848112573528,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
108,107,0.24639999999999998,0.043647058823529414,0.7619629629629631,0.7183333333333333,0.36670588235294116,0.16999999999999998,0.3524999999999999,0.0,0.0305,-1.307195,0.22,0.09665221000670435,0.123,0.0827264600728245,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
65,64,0.5082,0.17458823529411766,0.5611111111111111,0.6901666666666667,0.3961176470588235,0.41283333333333333,0.9075,0.535,0.305,-1.393,0.22,0.2099362926712584,0.12932258064516128,0.16954652234825365,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
33,32,0.47739999999999994,0.15276470588235294,0.6996296296296297,0.5775,0.602,0.20916666666666667,0.3524999999999999,0.535,0.305,-1.393,0.229591096125,0.18520785757500002,0.19887096774193547,0.15026625,0.25,0.5,2.148920935862408,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
8,7,0.5544,0.19641176470588234,0.7342592592592594,0.5775,0.3961176470588235,0.16216666666666668,0.9075,0.47555555555555556,0.2745,-1.375839,0.22,0.10674919214827287,0.123,0.16997086774197584,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
49,48,0.7699999999999999,0.28370588235294114,0.5888148148148149,0.6338333333333334,0.48435294117647054,0.31883333333333336,0.9075,0.535,0.305,-1.393,0.22,0.22233441166389245,0.12932258064516128,0.18936556810364455,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
70,69,0.015399999999999999,0.0,0.775814814814815,0.493,0.10199999999999998,0.1465,0.5374999999999999,0.3566666666666667,0.2135,-1.358678,0.22,0.07982227500199565,0.123,0.08907013923341892,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
18,17,0.24639999999999998,0.043647058823529414,0.574962962962963,0.7183333333333333,0.27847058823529414,0.20133333333333334,1.0,0.535,0.305,-1.393,0.22,0.09559343122528817,0.123,0.15845538934640524,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
53,52,0.5851999999999999,0.19641176470588234,0.574962962962963,0.8028333333333333,0.24905882352941175,0.25616666666666665,0.9075,0.2972222222222223,0.305,-1.393,0.22,0.2044818840567041,0.12932258064516128,0.14147800765605878,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
